Colonne,Bloc,Type,Description,Utilisation ML
patient_id,Identifiant,Entier,"Numéro unique du patient (1 à 49, hors 24/25/37/40). Utilisé pour le split train/test : toutes les fenêtres d'un même patient restent dans le même fold.",Clé de groupement — ne jamais utiliser comme feature
meal_time,Identifiant,Datetime,Horodatage du début du repas (t=0). Sert de référence pour construire toute la fenêtre temporelle. Les dates sont décalées artificiellement (anonymisation CGMacros).,Référence temporelle — ne pas utiliser brut comme feature
meal_type,Identifiant,Catégoriel (string),Type de repas : Breakfast / Lunch / Dinner / Snacks. Encode un contexte circadien important : la réponse glycémique au même repas peut différer selon l'heure de la journée.,Feature catégorielle — encodage one-hot recommandé
hour_sin,Encodage temporel,Float,Partie sinus de l'heure du repas encodée cycliquement sur 24h. Formule : sin(2π × heure / 24). Permet au modèle de comprendre que 23h et 0h sont proches.,Feature numérique — input modèle
hour_cos,Encodage temporel,Float,Partie cosinus de l'heure du repas encodée cycliquement sur 24h. Formule : cos(2π × heure / 24). Complémentaire à hour_sin.,Feature numérique — input modèle
dow_sin,Encodage temporel,Float,"Partie sinus du jour de la semaine encodé cycliquement sur 7 jours. Formule : sin(2π × jour / 7). 0=lundi, 6=dimanche.",Feature numérique — input modèle
dow_cos,Encodage temporel,Float,Partie cosinus du jour de la semaine encodé cycliquement sur 7 jours. Formule : cos(2π × jour / 7). Complémentaire à dow_sin.,Feature numérique — input modèle
carbs,Nutrition,Float (grammes),Quantité de glucides du repas en grammes. Macronutriment le plus directement lié à la réponse glycémique : les glucides sont convertis en glucose et absorbés dans le sang. Feature nutritionnelle la plus prédictive de la PPGR.,Feature numérique prioritaire — input modèle
protein,Nutrition,Float (grammes),Quantité de protéines du repas en grammes. Effet modérateur non linéaire sur la glycémie : stimule à la fois l'insuline et le glucagon. L'effet net dépend du contexte métabolique.,Feature numérique — input modèle
fat,Nutrition,Float (grammes),Quantité de lipides du repas en grammes. Ralentit la vidange gastrique : décale et aplatit le pic glycémique (pic plus tardif et moins élevé).,Feature numérique — input modèle
fiber,Nutrition,Float (grammes),Quantité de fibres alimentaires du repas en grammes. Ralentit l'absorption des glucides et réduit l'amplitude du pic glycémique postprandial. Quelques NaN présents.,Feature numérique — input modèle (imputation si NaN)
calories,Nutrition,Float (kcal),Apport calorique total du repas. Partiellement redondant avec carbs/protein/fat (glucides×4 + protéines×4 + lipides×9). À évaluer pour colinéarité.,Feature numérique — évaluer la colinéarité avec les macros
cgm_at_meal,CGM agrégé,Float (mg/dL),Glycémie Abbott FreeStyle Libre au moment exact du repas (t=0). Valeur de départ de la réponse glycémique — fortement prédictive de la valeur absolue à t+60 min.,Feature numérique prioritaire — input modèle
cgm_pre_mean,CGM agrégé,Float (mg/dL),Moyenne de la glycémie sur les 60 minutes précédant le repas. Résume le niveau glycémique basal du patient avant le repas.,Feature numérique — input baseline tabulaire
cgm_pre_std,CGM agrégé,Float (mg/dL),Écart-type de la glycémie sur les 60 minutes précédant le repas. Mesure la variabilité glycémique pré-repas. Un écart-type élevé peut indiquer une instabilité métabolique.,Feature numérique — input baseline tabulaire
cgm_pre_min,CGM agrégé,Float (mg/dL),Valeur minimale de la glycémie sur les 60 minutes précédant le repas. Permet de détecter un épisode hypoglycémique pré-repas.,Feature numérique — input baseline tabulaire
cgm_pre_max,CGM agrégé,Float (mg/dL),Valeur maximale de la glycémie sur les 60 minutes précédant le repas.,Feature numérique — input baseline tabulaire
